Trigger_Ticks,Stall_Sec,Tighten_SL_Ticks,Breakeven_Trigger_Ticks,Net_PnL_USDT,Profit_Factor,Win_Rate_Pct,Scratch_Rate_Pct,Shakeout_Rate_Pct,Max_DD_Pct,Gross_Profit_USDT,Gross_Loss_USDT,Sharpe_Ratio,Sortino_Ratio,Calmar_Ratio,Total_Trades,Winning_Trades,Losing_Trades,Scratch_Trades,Shakeout_Trades
2.5,10.0,1.0,4.0,2.8404,1.25,30.04,2.2,1.17,0.022,14.365,11.5246,24.19,126.16,194.61,47812,14365,32394,1053,560
1.5,45.0,0.5,4.0,2.8149,1.24,30.22,2.2,1.0,0.021,14.447,11.6321,23.64,123.73,205.24,47812,14447,32312,1053,478
2.5,45.0,1.0,4.0,2.8112,1.23,30.96,2.2,0.26,0.021,14.803,11.9918,23.13,114.22,199.3,47812,14803,31956,1053,122
1.0,45.0,0.5,4.0,2.6939,1.23,29.99,2.2,1.23,0.021,14.337,11.6431,22.74,113.75,196.31,47812,14337,32422,1053,588
2.0,45.0,1.0,4.0,2.78,1.23,30.91,2.2,0.31,0.021,14.777,11.997,22.93,112.96,197.07,47812,14777,31982,1053,148
2.5,10.0,0.5,4.0,2.5471,1.23,28.12,2.2,3.09,0.02,13.447,10.8999,22.73,110.78,192.91,47812,13447,33312,1053,1478
1.5,45.0,1.0,4.0,2.7512,1.23,30.86,2.2,0.36,0.021,14.753,12.0018,22.8,110.45,194.02,47812,14753,32006,1053,172
2.5,60.0,0.5,4.0,2.7363,1.23,30.78,2.2,0.44,0.022,14.717,11.9807,22.79,109.33,186.13,47812,14717,32042,1053,208
1.0,45.0,1.0,4.0,2.7104,1.23,30.79,2.2,0.43,0.021,14.719,12.0086,22.62,106.64,191.11,47812,14719,32040,1053,206
2.0,60.0,0.5,4.0,2.6747,1.22,30.66,2.2,0.55,0.022,14.661,11.9863,22.35,105.76,181.9,47812,14661,32098,1053,264
1.5,60.0,0.5,4.0,2.5955,1.22,30.51,2.2,0.7,0.022,14.589,11.9935,21.88,100.99,176.46,47812,14589,32170,1053,336
2.5,60.0,1.0,4.0,2.6208,1.21,31.07,2.2,0.15,0.025,14.853,12.2322,21.63,96.14,159.31,47812,14853,31906,1053,72
1.0,60.0,0.5,4.0,2.5218,1.21,30.37,2.2,0.84,0.024,14.522,12.0002,21.21,95.21,157.69,47812,14522,32237,1053,403
2.0,60.0,1.0,4.0,2.5836,1.21,31.0,2.2,0.22,0.025,14.822,12.2384,21.41,94.76,157.03,47812,14822,31937,1053,103
1.5,60.0,1.0,4.0,2.5572,1.21,30.95,2.2,0.26,0.025,14.8,12.2428,21.18,91.97,155.42,47812,14800,31959,1053,125
1.0,60.0,1.0,4.0,2.5296,1.21,30.91,2.2,0.31,0.025,14.777,12.2474,20.98,90.9,153.74,47812,14777,31982,1053,148
