trade_id,type,entry_time,exit_time,entry_price,exit_price,tp_price,sl_price,tp_ticks,sl_ticks,bars_held,confidence,exit_reason,gross_return_pct,net_return_pct,net_margin_ret_pct,pnl_usd,equity_after,fee_pct_roundtrip,fee_usd
1,LONG,1782872160000,1782872220000,1.711,1.703,1.724,1.705,13,6,1,0.4171,SL_HIT,-0.4675628287551143,-0.5676,-11.3513,-113.51,9886.49,0.1,19.772974868497954
2,LONG,1782875220000,1782875280000,1.738,1.726,1.758,1.728,20,10,1,0.4002,SL_HIT,-0.6904487917146152,-0.7904,-15.809,-156.3,9730.19,0.1,19.460384386629805
3,LONG,1783067340000,1783067340000,1.768,1.758,1.784,1.76,16,8,0,0.4327,SL_HIT,-0.5656108597285073,-0.6656,-13.3122,-129.53,9600.66,0.1,19.201323522985167
4,LONG,1784341980000,1784342100000,1.601,1.614,1.614,1.595,13,6,2,0.4091,TP_HIT,0.811992504684566,0.712,14.2399,136.71,9737.37,0.1,19.474747491552943
5,LONG,1784342160000,1784342820000,1.615,1.631,1.631,1.607,16,8,11,0.4404,TP_HIT,0.9907120743034064,0.8907,17.8142,173.46,9910.84,0.1,19.821675346247666
6,LONG,1785773100000,1785773280000,1.505,1.497,1.5179999999999998,1.499,13,6,3,0.4073,SL_HIT,-0.5315614617940205,-0.6316,-12.6312,-125.19,9785.65,0.1,19.571303221110014
7,LONG,1787169000000,1787169780000,1.489,1.506,1.506,1.481,17,8,13,0.4025,TP_HIT,1.1417058428475422,1.0417,20.8341,203.88,9989.53,0.1,19.97905403946144
8,LONG,1787172540000,1787172660000,1.548,1.565,1.565,1.539,17,9,2,0.4167,TP_HIT,1.098191214470278,0.9982,19.9638,199.43,10188.96,0.1,20.37791236377379
9,LONG,1787173200000,1787173260000,1.587,1.613,1.613,1.574,26,13,1,0.4165,TP_HIT,1.6383112791430388,1.5383,30.7662,313.48,10502.43,0.1,21.00486381246542
10,LONG,1787370600000,1787370720000,2.455,2.554,2.554,2.406,99,49,2,0.4187,TP_HIT,4.032586558044815,3.9326,78.6517,826.03,11328.47,0.1,22.65693271411469
11,LONG,1787373240000,1787373480000,2.788,2.915,2.915,2.732,127,56,4,0.4036,TP_HIT,4.555236728837885,4.4552,89.1047,1009.42,12337.89,0.1,24.675772689929335
12,LONG,1787374140000,1787374200000,3.163,3.376,3.376,3.1,213,63,1,0.4096,TP_HIT,6.734113183686377,6.6341,132.6823,1637.02,13974.91,0.1,27.94981006832751
13,SHORT,1787701500000,1787702400000,2.164,2.171,2.139,2.176,25,12,15,0.4104,TIME_EXPIRY,-0.3234750462107058,-0.4235,-8.4695,-118.36,13856.54,0.1,27.713089126122195
14,LONG,1787880420000,1787880660000,2.802,2.853,2.853,2.777,51,25,4,0.4344,TP_HIT,1.820128479657393,1.7201,34.4026,476.7,14333.25,0.1,28.666490603424723
