symbol,status,is_active,base_coin,quote_coin,settle_coin,display_name_en,maker_fee_rate,maker_fee_pct,taker_fee_rate,taker_fee_pct,is_zero_fee,min_contracts,contract_size,min_underlying_qty,min_notional_usdt,min_margin_usdt,max_contracts,max_underlying_qty,vol_unit_step,vol_precision_scale,tick_size,price_precision_scale,amount_precision_scale,start_date_utc,start_date_ist,start_timestamp_ms,age_days,age_readable,max_leverage,min_leverage,maintenance_margin_rate,maintenance_margin_pct,initial_margin_rate,initial_margin_pct,current_price,fair_price,index_price,funding_rate,funding_rate_pct,price_change_24h_pct,high_24h,low_24h,volume_24h_contracts,turnover_24h_usdt,open_interest_contracts,open_interest_usdt,is_hot,is_new,api_allowed,tags_concept_plate,oracle_sources,depth_step_aggregations
GIGGLE_USDT,ACTIVE,True,GIGGLE,USDT,USDT,GIGGLE USDT PERP,0.0,0.000%,0.0,0.000%,True,1.0,0.1,0.1,3.485,0.0697,41110.0,4111.0,1.0,0,0.01,2,2,2025-09-22 09:21:31 UTC,2025-09-22 14:51:31 IST,1758532891000,360,12m 0d,50,1,0.01,1.00%,0.02,2.00%,34.85,34.84,34.87,5e-05,0.0050%,0.28%,35.31,33.33,205461.0,708707.64,16735.0,58321.48,False,False,True,common_section_meme,BINANCE; MEXC; GATEIO; HUOBI,0.01; 0.1; 1; 10
SIREN_USDT,ACTIVE,True,SIREN,USDT,USDT,SIREN USDT PERP,0.0,0.000%,0.0,0.000%,True,1.0,10.0,10.0,0.2447,0.009788,52660.0,526600.0,1.0,0,1e-05,5,2,2025-03-20 09:36:25 UTC,2025-03-20 15:06:25 IST,1742463385000,546,1y 181d,25,1,0.02,2.00%,0.04,4.00%,0.02447,0.02446,0.02446,0.000813,0.0813%,2.42%,0.02661,0.02233,2767998.0,673245.8019,2444212.0,598098.68,False,False,True,common_section_aiagent,BINANCE_FUTURE,0.00001; 0.0001; 0.001; 0.01
TRUMP_USDC,ACTIVE,True,TRUMP,USDC,USDC,TRUMP USDC PERP,0.0,0.000%,0.0,0.000%,True,1.0,0.1,0.1,0.1951,0.007804,21820.0,2182.0,1.0,0,0.001,3,2,2025-05-20 10:22:48 UTC,2025-05-20 15:52:48 IST,1747736568000,485,1y 120d,25,1,0.02,2.00%,0.04,4.00%,1.951,1.951,1.953,-6.3e-05,-0.0063%,0.10%,1.969,1.843,3037579.0,585859.1553,138273.0,26977.06,False,False,True,common_section_meme; common_section_solana; common_section_celebritymemezone,BINANCE; OKX; MEXC; KUCOIN; BYBIT,0.001; 0.01; 0.1; 1
FLOKI_USDT,ACTIVE,True,FLOKI,USDT,USDT,FLOKIUSDT SWAP,0.0,0.000%,0.0,0.000%,True,1.0,100000.0,100000.0,2.419,0.032253,15400.0,1540000000.0,1.0,0,1e-08,8,2,2024-12-08 03:20:08 UTC,2024-12-08 08:50:08 IST,1733628008000,648,1y 283d,75,1,0.0067,0.67%,0.0133,1.33%,2.419e-05,2.419e-05,2.42e-05,2.5e-05,0.0025%,-0.98%,2.458e-05,2.278e-05,233235.0,556615.364,182268.0,440906.29,False,False,True,common_section_meme,BINANCE; GATEIO; OKX; MEXC; BITGET,0.00000001; 0.0000001; 0.000001; 0.00001
NEIROCTO_USDT,ACTIVE,True,NEIROCTO,USDT,USDT,NEIROCTOUSDT SWAP,0.0,0.000%,0.0,0.000%,True,1.0,10000.0,10000.0,0.8268,0.016536,42960.0,429600000.0,1.0,0,1e-08,8,2,2024-09-16 10:21:37 UTC,2024-09-16 15:51:37 IST,1726482097000,731,2y 1d,50,1,0.015,1.50%,0.02,2.00%,8.268e-05,8.268e-05,8.288e-05,5e-05,0.0050%,-0.92%,8.446e-05,7.7e-05,600014.0,487128.9958,1041658.0,861242.83,False,False,True,common_section_meme,MEXC; BINANCE; BITGET; BYBIT,0.00000001; 0.0000001; 0.000001; 0.00001
PNUT_USDT,ACTIVE,True,PNUT,USDT,USDT,PNUTUSDT SWAP,0.0,0.000%,0.0,0.000%,True,1.0,10.0,10.0,0.4645,0.00929,46800.0,468000.0,1.0,0,1e-05,5,2,2024-11-06 05:35:19 UTC,2024-11-06 11:05:19 IST,1730871319000,680,1y 315d,50,1,0.01,1.00%,0.02,2.00%,0.04645,0.04645,0.04648,5e-05,0.0050%,0.34%,0.04693,0.04287,1064285.0,484400.211,2740230.0,1272836.83,False,False,True,common_section_meme; common_section_solana,BYBIT; BINANCE; OKX; KUCOIN; MEXC,0.00001; 0.0001; 0.001; 0.01
TOSHI_USDT,ACTIVE,True,TOSHI,USDT,USDT,TOSHIUSDT SWAP,0.0,0.000%,0.0,0.000%,True,1.0,10000.0,10000.0,1.086,0.02172,28360.0,283600000.0,1.0,0,1e-07,7,2,2024-12-08 03:49:03 UTC,2024-12-08 09:19:03 IST,1733629743000,648,1y 283d,50,1,0.0067,0.67%,0.02,2.00%,0.0001086,0.0001085,0.0001085,5e-05,0.0050%,-0.54%,0.000111,0.000104,394930.0,426232.225,460378.0,499970.51,False,False,True,common_section_meme; common_section_base,BINANCE_FUTURE; GATEIO; MEXC; OKX; BYBIT,0.0000001; 0.000001; 0.00001; 0.0001
KOMA_USDT,ACTIVE,True,KOMA,USDT,USDT,KOMAUSDT SWAP,0.0,0.000%,0.0,0.000%,True,1.0,10.0,10.0,0.19249,0.0077,33980.0,339800.0,1.0,0,1e-06,6,2,2024-12-10 10:08:52 UTC,2024-12-10 15:38:52 IST,1733825332000,646,1y 281d,25,1,0.0067,0.67%,0.04,4.00%,0.019249,0.019246,0.019246,0.000103,0.0103%,-1.43%,0.020073,0.018127,2041829.0,395400.64076,2016172.0,388092.95,False,False,True,common_section_meme,BINANCE_FUTURE; LBANK; GATEIO; MEXC; KUCOIN,0.000001; 0.00001; 0.0001; 0.001
ANSEM_USDT,ACTIVE,True,ANSEM,USDT,USDT,ANSEM USDT PERP,0.0,0.000%,0.0,0.000%,True,1.0,100.0,100.0,14.39,0.5756,25.0,2500.0,1.0,0,0.0001,4,2,2026-06-28 08:44:19 UTC,2026-06-28 14:14:19 IST,1782636259000,81,2m 21d,25,1,0.02,2.00%,0.04,4.00%,0.1439,0.1439,0.1439,0.0002,0.0200%,8.19%,0.1481,0.1209,25987.0,346823.81,2708.0,38968.12,False,False,True,common_section_meme; common_section_solana,KCEX; LBANK; MEXC_FUTURE; MEXC,0.0001; 0.001; 0.01; 0.1
TST_USDT,ACTIVE,True,TST,USDT,USDT,TST USDT PERP,0.0,0.000%,0.0,0.000%,True,1.0,10.0,10.0,0.1515,0.00606,16450.0,164500.0,1.0,0,1e-05,5,2,2025-02-09 01:19:45 UTC,2025-02-09 06:49:45 IST,1739063985000,585,1y 220d,25,1,0.01,1.00%,0.04,4.00%,0.01515,0.01514,0.01509,0.000202,0.0202%,0.79%,0.01546,0.01474,2198037.0,332946.8617,3658347.0,554239.57,False,False,True,common_section_meme,BINANCE; MEXC; LBANK,0.00001; 0.0001; 0.001; 0.01
