symbol,market,contract_status,earliest_date,latest_date,total_months_available,total_data_types,available_data_types,trades_range,aggTrades_range,klines_range,bookTicker_range,fundingRate_range,markPriceKlines_range,indexPriceKlines_range,premiumIndexKlines_range
0GUSDT,futures/um,ACTIVE_PERPETUAL,2025-09,2026-08,12,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-09 to 2026-08,2025-09 to 2026-08,2025-09 to 2026-08,N/A,2025-09 to 2026-08,2025-09 to 2026-08,2025-09 to 2026-08,2025-09 to 2026-08
1000000BOBUSDT,futures/um,ACTIVE_PERPETUAL,2025-06,2026-08,15,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-06 to 2026-08,2025-06 to 2026-08,2025-06 to 2026-08,N/A,2025-06 to 2026-08,2025-06 to 2026-08,2025-06 to 2026-08,2025-06 to 2026-08
1000000MOGUSDT,futures/um,ACTIVE_PERPETUAL,2024-11,2026-08,22,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2024-11 to 2026-08,2024-11 to 2026-08,2024-11 to 2026-08,N/A,2024-11 to 2026-08,2024-11 to 2026-08,2024-11 to 2026-08,2024-11 to 2026-08
1000BONKUSDC,futures/um,ACTIVE_PERPETUAL,2024-05,2026-08,28,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2024-05 to 2026-08,2024-05 to 2026-08,2024-05 to 2026-08,N/A,2024-05 to 2026-08,2024-05 to 2026-08,2024-05 to 2026-08,2024-05 to 2026-08
1000BONKUSDT,futures/um,ACTIVE_PERPETUAL,2023-11,2026-08,34,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2023-11 to 2026-08,2023-11 to 2026-08,2023-11 to 2026-08,2023-11 to 2024-04,2023-11 to 2026-08,2023-11 to 2026-08,2023-11 to 2026-08,2023-11 to 2026-08
1000BTTCUSDT,futures/um,DELISTED_HISTORICAL,2022-01,2022-04,4,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2022-01 to 2022-04,2022-01 to 2022-04,2022-01 to 2022-04,N/A,2022-01 to 2022-04,2022-01 to 2022-04,2022-01 to 2022-04,2022-01 to 2022-04
1000CATUSDT,futures/um,ACTIVE_PERPETUAL,2024-10,2026-08,23,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2024-10 to 2026-08,2024-10 to 2026-08,2024-10 to 2026-08,N/A,2024-10 to 2026-08,2024-10 to 2026-08,2024-10 to 2026-08,2024-10 to 2026-08
1000CHEEMSUSDT,futures/um,ACTIVE_PERPETUAL,2024-11,2026-08,22,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2024-11 to 2026-08,2024-11 to 2026-08,2024-11 to 2026-08,N/A,2024-11 to 2026-08,2024-11 to 2026-08,2024-11 to 2026-08,2024-11 to 2026-08
1000FLOKIUSDT,futures/um,ACTIVE_PERPETUAL,2023-05,2026-08,40,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2023-05 to 2026-08,2023-05 to 2026-08,2023-05 to 2026-08,2023-05 to 2024-04,2023-05 to 2026-08,2023-05 to 2026-08,2023-05 to 2026-08,2023-05 to 2026-08
1000LUNCBUSD,futures/um,DELISTED_BUSD,2022-05,2023-06,14,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2022-05 to 2023-06,2022-05 to 2023-06,2022-05 to 2023-06,2023-05 to 2023-06,2022-05 to 2023-06,2022-05 to 2023-06,2022-05 to 2023-06,2022-05 to 2023-06
1000LUNCUSDT,futures/um,ACTIVE_PERPETUAL,2022-09,2026-08,48,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2022-09 to 2026-08,2022-09 to 2026-08,2022-09 to 2026-08,2023-05 to 2024-04,2022-09 to 2026-08,2022-09 to 2026-08,2022-09 to 2026-08,2022-09 to 2026-08
1000PEPEUSDC,futures/um,ACTIVE_PERPETUAL,2024-03,2026-08,30,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2024-03 to 2026-08,2024-03 to 2026-08,2024-03 to 2026-08,2024-03 to 2024-04,2024-03 to 2026-08,2024-03 to 2026-08,2024-03 to 2026-08,2024-03 to 2026-08
1000PEPEUSDT,futures/um,ACTIVE_PERPETUAL,2023-05,2026-08,40,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2023-05 to 2026-08,2023-05 to 2026-08,2023-05 to 2026-08,2023-05 to 2024-04,2023-05 to 2026-08,2023-05 to 2026-08,2023-05 to 2026-08,2023-05 to 2026-08
1000RATSUSDT,futures/um,ACTIVE_PERPETUAL,2023-12,2026-08,33,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2023-12 to 2026-08,2023-12 to 2026-08,2023-12 to 2026-08,2023-12 to 2024-04,2023-12 to 2026-08,2023-12 to 2026-08,2023-12 to 2026-08,2023-12 to 2026-08
1000SATSUSDT,futures/um,ACTIVE_PERPETUAL,2023-12,2026-08,33,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2023-12 to 2026-08,2023-12 to 2026-08,2023-12 to 2026-08,2023-12 to 2024-04,2023-12 to 2026-08,2023-12 to 2026-08,2023-12 to 2026-08,2023-12 to 2026-08
1000SHIBBUSD,futures/um,DELISTED_BUSD,2022-07,2023-06,12,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2022-07 to 2023-06,2022-07 to 2023-06,2022-07 to 2023-06,2023-05 to 2023-06,2022-07 to 2023-06,2022-07 to 2023-06,2022-07 to 2023-06,2022-07 to 2023-06
1000SHIBUSDC,futures/um,ACTIVE_PERPETUAL,2024-03,2026-08,30,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2024-03 to 2026-08,2024-03 to 2026-08,2024-03 to 2026-08,2024-03 to 2024-04,2024-03 to 2026-08,2024-03 to 2026-08,2024-03 to 2026-08,2024-03 to 2026-08
1000SHIBUSDT,futures/um,ACTIVE_PERPETUAL,2021-05,2026-08,64,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2021-05 to 2026-08,2021-05 to 2026-08,2021-05 to 2026-08,2023-05 to 2024-04,2021-05 to 2026-08,2021-05 to 2026-08,2021-05 to 2026-08,2021-05 to 2026-08
1000WHYUSDT,futures/um,DELISTED_HISTORICAL,2024-11,2026-03,17,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2024-11 to 2026-03,2024-11 to 2026-03,2024-11 to 2026-03,N/A,2024-11 to 2026-03,2024-11 to 2026-03,2024-11 to 2026-03,2024-11 to 2026-03
1000XECUSDT,futures/um,ACTIVE_PERPETUAL,2021-09,2026-08,60,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2021-09 to 2026-08,2021-09 to 2026-08,2021-09 to 2026-08,2023-05 to 2024-04,2021-09 to 2026-08,2021-09 to 2026-08,2021-09 to 2026-08,2021-09 to 2026-08
1000XUSDT,futures/um,DELISTED_HISTORICAL,2024-11,2025-11,13,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2024-11 to 2025-11,2024-11 to 2025-11,2024-11 to 2025-11,N/A,2024-11 to 2025-11,2024-11 to 2025-11,2024-11 to 2025-11,2024-11 to 2025-11
1INCHUSDT,futures/um,ACTIVE_PERPETUAL,2020-12,2026-08,69,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2020-12 to 2026-08,2020-12 to 2026-08,2020-12 to 2026-08,2023-05 to 2024-04,2020-12 to 2026-08,2020-12 to 2026-08,2020-12 to 2026-08,2020-12 to 2026-08
1MBABYDOGEUSDT,futures/um,ACTIVE_PERPETUAL,2024-09,2026-08,24,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2024-09 to 2026-08,2024-09 to 2026-08,2024-09 to 2026-08,N/A,2024-09 to 2026-08,2024-09 to 2026-08,2024-09 to 2026-08,2024-09 to 2026-08
2ZUSDT,futures/um,ACTIVE_PERPETUAL,2025-10,2026-08,11,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-10 to 2026-08,2025-10 to 2026-08,2025-10 to 2026-08,N/A,2025-10 to 2026-08,2025-10 to 2026-08,2025-10 to 2026-08,2025-10 to 2026-08
42USDT,futures/um,DELISTED_HISTORICAL,2025-10,2026-01,4,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-10 to 2026-01,2025-10 to 2026-01,2025-10 to 2026-01,N/A,2025-10 to 2026-01,2025-10 to 2026-01,2025-10 to 2026-01,2025-10 to 2026-01
4USDT,futures/um,ACTIVE_PERPETUAL,2025-10,2026-08,11,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-10 to 2026-08,2025-10 to 2026-08,2025-10 to 2026-08,N/A,2025-10 to 2026-08,2025-10 to 2026-08,2025-10 to 2026-08,2025-10 to 2026-08
A2ZUSDT,futures/um,DELISTED_HISTORICAL,2025-07,2026-03,9,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-07 to 2026-03,2025-07 to 2026-03,2025-07 to 2026-03,N/A,2025-07 to 2026-03,2025-07 to 2026-03,2025-07 to 2026-03,2025-07 to 2026-03
AAOIUSDT,futures/um,ACTIVE_PERPETUAL,2026-06,2026-08,3,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08,N/A,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08
AAPLUSDT,futures/um,ACTIVE_PERPETUAL,2026-04,2026-08,5,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-04 to 2026-08,2026-04 to 2026-08,2026-04 to 2026-08,N/A,2026-04 to 2026-08,2026-04 to 2026-08,2026-04 to 2026-08,2026-04 to 2026-08
AAVEUSDC,futures/um,ACTIVE_PERPETUAL,2025-06,2026-08,15,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-06 to 2026-08,2025-06 to 2026-08,2025-06 to 2026-08,N/A,2025-06 to 2026-08,2025-06 to 2026-08,2025-06 to 2026-08,2025-06 to 2026-08
AAVEUSDT,futures/um,ACTIVE_PERPETUAL,2020-10,2026-08,71,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2020-10 to 2026-08,2020-10 to 2026-08,2020-10 to 2026-08,2023-05 to 2024-04,2020-10 to 2026-08,2020-10 to 2026-08,2020-10 to 2026-08,2020-10 to 2026-08
ACEUSDT,futures/um,ACTIVE_PERPETUAL,2023-12,2026-08,33,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2023-12 to 2026-08,2023-12 to 2026-08,2023-12 to 2026-08,2023-12 to 2024-04,2023-12 to 2026-08,2023-12 to 2026-08,2023-12 to 2026-08,2023-12 to 2026-08
ACHUSDT,futures/um,ACTIVE_PERPETUAL,2023-02,2026-08,43,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2023-02 to 2026-08,2023-02 to 2026-08,2023-02 to 2026-08,2023-05 to 2024-04,2023-02 to 2026-08,2023-02 to 2026-08,2023-02 to 2026-08,2023-02 to 2026-08
ACTUSDT,futures/um,ACTIVE_PERPETUAL,2024-11,2026-08,22,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2024-11 to 2026-08,2024-11 to 2026-08,2024-11 to 2026-08,N/A,2024-11 to 2026-08,2024-11 to 2026-08,2024-11 to 2026-08,2024-11 to 2026-08
ACUUSDT,futures/um,ACTIVE_PERPETUAL,2026-01,2026-08,8,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-01 to 2026-08,2026-01 to 2026-08,2026-01 to 2026-08,N/A,2026-01 to 2026-08,2026-01 to 2026-08,2026-01 to 2026-08,2026-01 to 2026-08
ACXUSDT,futures/um,ACTIVE_PERPETUAL,2024-12,2026-08,21,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2024-12 to 2026-08,2024-12 to 2026-08,2024-12 to 2026-08,N/A,2024-12 to 2026-08,2024-12 to 2026-08,2024-12 to 2026-08,2024-12 to 2026-08
ADABUSD,futures/um,DELISTED_BUSD,2021-08,2023-08,25,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2021-08 to 2023-08,2021-08 to 2023-08,2021-08 to 2023-08,2023-05 to 2023-08,2021-08 to 2023-08,2021-08 to 2023-08,2021-08 to 2023-08,2021-08 to 2023-08
ADAUSDC,futures/um,ACTIVE_PERPETUAL,2025-03,2026-08,18,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-03 to 2026-08,2025-03 to 2026-08,2025-03 to 2026-08,N/A,2025-03 to 2026-08,2025-03 to 2026-08,2025-03 to 2026-08,2025-03 to 2026-08
ADAUSDT,futures/um,ACTIVE_PERPETUAL,2020-01,2026-08,80,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2020-01 to 2026-08,2020-01 to 2026-08,2020-01 to 2026-08,2023-05 to 2024-04,2020-01 to 2026-08,2020-01 to 2026-08,2020-01 to 2026-08,2020-01 to 2026-08
ADBEUSDT,futures/um,ACTIVE_PERPETUAL,2026-06,2026-08,3,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08,N/A,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08
AERGOUSDT,futures/um,DELISTED_HISTORICAL,2024-09,2026-06,22,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2024-09 to 2026-06,2024-09 to 2026-06,2024-09 to 2026-06,N/A,2024-09 to 2026-06,2024-09 to 2026-06,2024-09 to 2026-06,2024-09 to 2026-06
AERGOUSDTSETTLED,futures/um,SETTLED,2025-04,2025-04,1,1,klines,N/A,N/A,2025-04 to 2025-04,N/A,N/A,N/A,N/A,N/A
AERGOUSDTSETTLEDSETTLED,futures/um,SETTLED,2026-07,2026-07,1,3,aggTrades; klines; trades,2026-07 to 2026-07,2026-07 to 2026-07,2026-07 to 2026-07,N/A,N/A,N/A,N/A,N/A
AEROUSDT,futures/um,ACTIVE_PERPETUAL,2024-12,2026-08,21,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2024-12 to 2026-08,2024-12 to 2026-08,2024-12 to 2026-08,N/A,2024-12 to 2026-08,2024-12 to 2026-08,2024-12 to 2026-08,2024-12 to 2026-08
AEVOUSDT,futures/um,ACTIVE_PERPETUAL,2024-03,2026-08,30,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2024-03 to 2026-08,2024-03 to 2026-08,2024-03 to 2026-08,2024-03 to 2024-04,2024-03 to 2026-08,2024-03 to 2026-08,2024-03 to 2026-08,2024-03 to 2026-08
AGIXBUSD,futures/um,DELISTED_BUSD,2023-01,2023-07,7,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2023-01 to 2023-07,2023-01 to 2023-07,2023-01 to 2023-07,2023-05 to 2023-07,2023-01 to 2023-07,2023-01 to 2023-07,2023-01 to 2023-07,2023-01 to 2023-07
AGIXUSDT,futures/um,DELISTED_HISTORICAL,2023-02,2024-06,17,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2023-02 to 2024-06,2023-02 to 2024-06,2023-02 to 2024-06,2023-05 to 2024-04,2023-02 to 2024-06,2023-02 to 2024-06,2023-02 to 2024-06,2023-02 to 2024-06
AGLDUSDT,futures/um,ACTIVE_PERPETUAL,2023-07,2026-08,38,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2023-07 to 2026-08,2023-07 to 2026-08,2023-07 to 2026-08,2023-07 to 2024-04,2023-07 to 2026-08,2023-07 to 2026-08,2023-07 to 2026-08,2023-07 to 2026-08
AGTUSDT,futures/um,ACTIVE_PERPETUAL,2025-05,2026-08,16,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-05 to 2026-08,2025-05 to 2026-08,2025-05 to 2026-08,N/A,2025-05 to 2026-08,2025-05 to 2026-08,2025-05 to 2026-08,2025-05 to 2026-08
AI16ZUSDT,futures/um,DELISTED_HISTORICAL,2025-01,2025-12,12,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-01 to 2025-12,2025-01 to 2025-12,2025-01 to 2025-12,N/A,2025-01 to 2025-12,2025-01 to 2025-12,2025-01 to 2025-12,2025-01 to 2025-12
AIAUSDT,futures/um,ACTIVE_PERPETUAL,2025-09,2026-08,12,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-09 to 2026-08,2025-09 to 2026-08,2025-09 to 2026-08,N/A,2025-09 to 2026-08,2025-09 to 2026-08,2025-09 to 2026-08,2025-09 to 2026-08
AIAUSDTSETTLED,futures/um,SETTLED,2026-01,2026-01,1,1,klines,N/A,N/A,2026-01 to 2026-01,N/A,N/A,N/A,N/A,N/A
AIGENSYNUSDT,futures/um,ACTIVE_PERPETUAL,2026-04,2026-08,5,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-04 to 2026-08,2026-04 to 2026-08,2026-04 to 2026-08,N/A,2026-04 to 2026-08,2026-04 to 2026-08,2026-04 to 2026-08,2026-04 to 2026-08
AINUSDT,futures/um,ACTIVE_PERPETUAL,2025-07,2026-08,14,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-07 to 2026-08,2025-07 to 2026-08,2025-07 to 2026-08,N/A,2025-07 to 2026-08,2025-07 to 2026-08,2025-07 to 2026-08,2025-07 to 2026-08
AIOTUSDT,futures/um,ACTIVE_PERPETUAL,2025-04,2026-08,17,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-04 to 2026-08,2025-04 to 2026-08,2025-04 to 2026-08,N/A,2025-04 to 2026-08,2025-04 to 2026-08,2025-04 to 2026-08,2025-04 to 2026-08
AIOUSDT,futures/um,ACTIVE_PERPETUAL,2025-08,2026-08,13,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-08 to 2026-08,2025-08 to 2026-08,2025-08 to 2026-08,N/A,2025-08 to 2026-08,2025-08 to 2026-08,2025-08 to 2026-08,2025-08 to 2026-08
AIUSDT,futures/um,DELISTED_HISTORICAL,2024-01,2026-04,28,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2024-01 to 2026-04,2024-01 to 2026-04,2024-01 to 2026-04,2024-01 to 2024-04,2024-01 to 2026-04,2024-01 to 2026-04,2024-01 to 2026-04,2024-01 to 2026-04
AIXBTUSDT,futures/um,ACTIVE_PERPETUAL,2024-12,2026-08,21,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2024-12 to 2026-08,2024-12 to 2026-08,2024-12 to 2026-08,N/A,2024-12 to 2026-08,2024-12 to 2026-08,2024-12 to 2026-08,2024-12 to 2026-08
AKEUSDT,futures/um,ACTIVE_PERPETUAL,2025-09,2026-08,12,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-09 to 2026-08,2025-09 to 2026-08,2025-09 to 2026-08,N/A,2025-09 to 2026-08,2025-09 to 2026-08,2025-09 to 2026-08,2025-09 to 2026-08
AKROUSDT,futures/um,DELISTED_HISTORICAL,2021-01,2022-05,17,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2021-01 to 2022-05,2021-01 to 2022-05,2021-01 to 2022-05,N/A,2021-01 to 2022-05,2021-01 to 2022-05,2021-01 to 2022-05,2021-01 to 2022-05
AKTUSDT,futures/um,ACTIVE_PERPETUAL,2024-11,2026-08,22,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2024-11 to 2026-08,2024-11 to 2026-08,2024-11 to 2026-08,N/A,2024-11 to 2026-08,2024-11 to 2026-08,2024-11 to 2026-08,2024-11 to 2026-08
ALABUSDT,futures/um,ACTIVE_PERPETUAL,2026-06,2026-08,3,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08,N/A,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08
ALCHUSDT,futures/um,ACTIVE_PERPETUAL,2025-01,2026-08,20,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-01 to 2026-08,2025-01 to 2026-08,2025-01 to 2026-08,N/A,2025-01 to 2026-08,2025-01 to 2026-08,2025-01 to 2026-08,2025-01 to 2026-08
ALGOUSDT,futures/um,ACTIVE_PERPETUAL,2020-06,2026-08,75,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2020-06 to 2026-08,2020-06 to 2026-08,2020-06 to 2026-08,2023-05 to 2024-04,2020-06 to 2026-08,2020-06 to 2026-08,2020-06 to 2026-08,2020-06 to 2026-08
ALICEUSDT,futures/um,ACTIVE_PERPETUAL,2021-03,2026-08,66,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2021-03 to 2026-08,2021-03 to 2026-08,2021-03 to 2026-08,2023-05 to 2024-04,2021-03 to 2026-08,2021-03 to 2026-08,2021-03 to 2026-08,2021-03 to 2026-08
ALLOUSDT,futures/um,ACTIVE_PERPETUAL,2025-11,2026-08,10,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-11 to 2026-08,2025-11 to 2026-08,2025-11 to 2026-08,N/A,2025-11 to 2026-08,2025-11 to 2026-08,2025-11 to 2026-08,2025-11 to 2026-08
ALLUSDT,futures/um,ACTIVE_PERPETUAL,2025-08,2026-08,13,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-08 to 2026-08,2025-08 to 2026-08,2025-08 to 2026-08,N/A,2025-08 to 2026-08,2025-08 to 2026-08,2025-08 to 2026-08,2025-08 to 2026-08
ALPACAUSDT,futures/um,DELISTED_HISTORICAL,2024-08,2025-04,9,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2024-08 to 2025-04,2024-08 to 2025-04,2024-08 to 2025-04,N/A,2024-08 to 2025-04,2024-08 to 2025-04,2024-08 to 2025-04,2024-08 to 2025-04
ALPHAUSDT,futures/um,DELISTED_HISTORICAL,2020-11,2025-09,59,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2020-11 to 2025-09,2020-11 to 2025-09,2020-11 to 2025-09,2023-05 to 2024-04,2020-11 to 2025-09,2020-11 to 2025-09,2020-11 to 2025-09,2020-11 to 2025-09
ALPINEUSDT,futures/um,ACTIVE_PERPETUAL,2025-05,2026-08,16,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-05 to 2026-08,2025-05 to 2026-08,2025-05 to 2026-08,N/A,2025-05 to 2026-08,2025-05 to 2026-08,2025-05 to 2026-08,2025-05 to 2026-08
ALTUSDT,futures/um,ACTIVE_PERPETUAL,2024-01,2026-08,32,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2024-01 to 2026-08,2024-01 to 2026-08,2024-01 to 2026-08,2024-01 to 2024-04,2024-01 to 2026-08,2024-01 to 2026-08,2024-01 to 2026-08,2024-01 to 2026-08
AMATUSDT,futures/um,ACTIVE_PERPETUAL,2026-06,2026-08,3,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08,N/A,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08,2026-06 to 2026-08
AMBBUSD,futures/um,DELISTED_BUSD,2022-09,2023-04,8,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2022-09 to 2023-04,2022-09 to 2023-04,2022-09 to 2023-04,N/A,2022-09 to 2023-04,2022-09 to 2023-04,2022-09 to 2023-04,2022-09 to 2023-04
AMBUSDT,futures/um,DELISTED_HISTORICAL,2023-03,2025-02,24,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2023-03 to 2025-02,2023-03 to 2025-02,2023-03 to 2025-02,2023-05 to 2024-04,2023-03 to 2025-02,2023-03 to 2025-02,2023-03 to 2025-02,2023-03 to 2025-02
AMDUSDT,futures/um,ACTIVE_PERPETUAL,2026-05,2026-08,4,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-05 to 2026-08,2026-05 to 2026-08,2026-05 to 2026-08,N/A,2026-05 to 2026-08,2026-05 to 2026-08,2026-05 to 2026-08,2026-05 to 2026-08
AMZNUSDT,futures/um,ACTIVE_PERPETUAL,2026-02,2026-08,7,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-02 to 2026-08,2026-02 to 2026-08,2026-02 to 2026-08,N/A,2026-02 to 2026-08,2026-02 to 2026-08,2026-02 to 2026-08,2026-02 to 2026-08
ANCBUSD,futures/um,DELISTED_BUSD,2022-05,2022-12,8,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2022-05 to 2022-12,2022-05 to 2022-12,2022-05 to 2022-12,N/A,2022-05 to 2022-12,2022-05 to 2022-12,2022-05 to 2022-12,2022-05 to 2022-12
ANCUSDT,futures/um,DELISTED_HISTORICAL,2022-03,2022-05,3,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2022-03 to 2022-05,2022-03 to 2022-05,2022-03 to 2022-05,N/A,2022-03 to 2022-05,2022-03 to 2022-05,2022-03 to 2022-05,2022-03 to 2022-05
