symbol,market,contract_status,earliest_date,latest_date,total_months_available,total_data_types,available_data_types,trades_range,aggTrades_range,klines_range,bookTicker_range,fundingRate_range,markPriceKlines_range,indexPriceKlines_range,premiumIndexKlines_range
CTRUSDT,futures/um,ACTIVE_PERPETUAL,2026-05,2026-08,4,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-05 to 2026-08,2026-05 to 2026-08,2026-05 to 2026-08,N/A,2026-05 to 2026-08,2026-05 to 2026-08,2026-05 to 2026-08,2026-05 to 2026-08
CTSIUSDT,futures/um,ACTIVE_PERPETUAL,2021-10,2026-08,59,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2021-10 to 2026-08,2021-10 to 2026-08,2021-10 to 2026-08,2023-05 to 2024-04,2021-10 to 2026-08,2021-10 to 2026-08,2021-10 to 2026-08,2021-10 to 2026-08
CUDISUSDT,futures/um,DELISTED_HISTORICAL,2025-08,2026-01,6,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-08 to 2026-01,2025-08 to 2026-01,2025-08 to 2026-01,N/A,2025-08 to 2026-01,2025-08 to 2026-01,2025-08 to 2026-01,2025-08 to 2026-01
CUSDT,futures/um,ACTIVE_PERPETUAL,2025-07,2026-08,14,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2025-07 to 2026-08,2025-07 to 2026-08,2025-07 to 2026-08,N/A,2025-07 to 2026-08,2025-07 to 2026-08,2025-07 to 2026-08,2025-07 to 2026-08
CVCUSDT,futures/um,ACTIVE_PERPETUAL,2020-11,2026-08,41,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2020-11 to 2026-08,2020-11 to 2026-08,2020-11 to 2026-08,N/A,2020-11 to 2026-08,2020-11 to 2026-08,2020-11 to 2026-08,2020-11 to 2026-08
CVCUSDTSETTLED,futures/um,SETTLED,2025-05,2025-05,1,2,klines; markPriceKlines,N/A,N/A,2025-05 to 2025-05,N/A,N/A,2025-05 to 2025-05,N/A,N/A
CVXBUSD,futures/um,DELISTED_BUSD,2022-07,2023-03,9,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2022-07 to 2023-03,2022-07 to 2023-03,2022-07 to 2023-03,N/A,2022-07 to 2023-03,2022-07 to 2023-03,2022-07 to 2023-03,2022-07 to 2023-03
CVXUSDT,futures/um,ACTIVE_PERPETUAL,2022-09,2026-08,35,8,aggTrades; bookTicker; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2022-09 to 2026-08,2022-09 to 2026-08,2022-09 to 2026-08,2023-05 to 2024-04,2022-09 to 2026-08,2022-09 to 2026-08,2022-09 to 2026-08,2022-09 to 2026-08
CVXUSDTSETTLED,futures/um,SETTLED,2025-07,2025-07,1,1,klines,N/A,N/A,2025-07 to 2025-07,N/A,N/A,N/A,N/A,N/A
CXMTUSDT,futures/um,ACTIVE_PERPETUAL,2026-08,2026-08,1,7,aggTrades; fundingRate; indexPriceKlines; klines; markPriceKlines; premiumIndexKlines; trades,2026-08 to 2026-08,2026-08 to 2026-08,2026-08 to 2026-08,N/A,2026-08 to 2026-08,2026-08 to 2026-08,2026-08 to 2026-08,2026-08 to 2026-08
