trade_id,type,entry_time,exit_time,entry_price,exit_price,tp_price,sl_price,position_size,position_notional_usd,committed_margin_usd,leverage,tp_ticks,sl_ticks,bars_held,confidence,exit_reason,gross_return_pct,net_return_pct,net_margin_ret_pct,pnl_usd,equity_after
tr_967b266154,LONG,1782872160000,1782872220000,1.711,1.703,1.724,1.705,0.2688,0.46,0.023,20.0x,13,6,1,0.4171,SL_HIT,-0.4675628287551143,-0.4675628287551143,-9.351256575102289,-0.002151,0.227849
tr_9b412568a8,LONG,1782875220000,1782875280000,1.738,1.726,1.758,1.728,0.2622,0.4557,0.0228,20.0x,20,10,1,0.4002,SL_HIT,-0.6904487917146152,-0.6904487917146152,-13.808975834292305,-0.003146,0.224703
tr_bea8c4668c,LONG,1783067340000,1783067340000,1.768,1.758,1.784,1.76,0.2542,0.4494,0.0225,20.0x,16,8,0,0.4327,SL_HIT,-0.5656108597285073,-0.5656108597285073,-11.312217194570144,-0.002542,0.222161
tr_1e32bbbf09,LONG,1784341980000,1784342100000,1.601,1.614,1.614,1.595,0.2775,0.4443,0.0222,20.0x,13,6,2,0.4091,TP_HIT,0.811992504684566,0.811992504684566,16.23985009369132,0.003608,0.225769
tr_0f99dc954b,LONG,1784342160000,1784342820000,1.615,1.631,1.631,1.607,0.2796,0.4515,0.0226,20.0x,16,8,11,0.4404,TP_HIT,0.9907120743034064,0.9907120743034064,19.81424148606813,0.004473,0.230242
tr_fef6cb09de,LONG,1785773100000,1785773280000,1.505,1.497,1.5179999999999998,1.499,0.306,0.4605,0.023,20.0x,13,6,3,0.4073,SL_HIT,-0.5315614617940205,-0.5315614617940205,-10.63122923588041,-0.002448,0.227794
tr_667a3b86c9,LONG,1787169000000,1787169780000,1.489,1.506,1.506,1.481,0.306,0.4556,0.0228,20.0x,17,8,13,0.4025,TP_HIT,1.1417058428475422,1.1417058428475422,22.83411685695085,0.005201,0.232996
tr_420a504371,LONG,1787172540000,1787172660000,1.548,1.565,1.565,1.539,0.301,0.466,0.0233,20.0x,17,9,2,0.4167,TP_HIT,1.098191214470278,1.098191214470278,21.96382428940556,0.005117,0.238113
tr_003994780a,LONG,1787173200000,1787173260000,1.587,1.613,1.613,1.574,0.3001,0.4762,0.0238,20.0x,26,13,1,0.4165,TP_HIT,1.6383112791430388,1.6383112791430388,32.76622558286078,0.007802,0.245916
tr_5799dacea8,LONG,1787370600000,1787370720000,2.455,2.554,2.554,2.406,0.2003,0.4918,0.0246,20.0x,99,49,2,0.4187,TP_HIT,4.032586558044815,4.032586558044815,80.6517311608963,0.019834,0.265749
tr_7b49e8467f,LONG,1787373240000,1787373480000,2.788,2.915,2.915,2.732,0.1906,0.5315,0.0266,20.0x,127,56,4,0.4036,TP_HIT,4.555236728837885,4.555236728837885,91.1047345767577,0.024211,0.28996
tr_862af95dce,LONG,1787374140000,1787374200000,3.163,3.376,3.376,3.1,0.1833,0.5799,0.029,20.0x,213,63,1,0.4096,TP_HIT,6.734113183686377,6.734113183686377,134.68226367372753,0.039052,0.329013
tr_34aed14a81,SHORT,1787701500000,1787702400000,2.164,2.171,2.139,2.176,0.3041,0.658,0.0329,20.0x,25,12,15,0.4104,TIME_EXPIRY,-0.3234750462107058,-0.3234750462107058,-6.469500924214115,-0.002129,0.326884
tr_be3c96fddf,LONG,1787880420000,1787880660000,2.802,2.853,2.853,2.777,0.2333,0.6538,0.0327,20.0x,51,25,4,0.4344,TP_HIT,1.820128479657393,1.820128479657393,36.40256959314787,0.011899,0.338783
