trade_id,type,entry_time,exit_time,entry_price,exit_price,tp_price,sl_price,tp_ticks,sl_ticks,bars_held,confidence,exit_reason,gross_return_pct,net_return_pct,net_margin_ret_pct,pnl_usd,equity_after
1,LONG,1783041240000,1783041300000,1715.85,1711.52,1724.48,1711.54,863,431,1,0.4383,SL_HIT,-0.252353061165016,-0.272353061165016,-5.44706122330032,-54.4706122330032,9945.529387766997
2,SHORT,1786401300000,1786401420000,1871.18,1873.07,1867.44,1873.05,374,187,2,0.4881,SL_HIT,-0.10100578244743277,-0.12100578244743279,-2.4201156489486557,-24.069331308413652,9921.460056458583
3,LONG,1787063340000,1787063820000,1917.04,1912.93,1925.22,1912.95,818,409,8,0.4044,SL_HIT,-0.21439302257646684,-0.23439302257646683,-4.687860451529337,-46.510420220100215,9874.949636238483
