trade_id,type,entry_time,exit_time,entry_price,exit_price,tp_price,sl_price,tp_ticks,sl_ticks,bars_held,confidence,exit_reason,gross_return_pct,net_return_pct,net_margin_ret_pct,pnl_usd,equity_after
1,SHORT,1783884180000,1783884180000,0.007146,0.007175999999999999,0.007136,0.007155999999999999,1,1,0,0.497,SL_HIT,-0.4198152812762335,-0.4198152812762335,-8.396305625524668,-83.9630562552467,9916.036943744753
2,LONG,1785369120000,1785369120000,0.007904,0.007874,0.007923999999999999,0.007894,2,1,0,0.4079,SL_HIT,-0.3795546558704299,-0.3795546558704299,-7.591093117408598,-75.27355979563019,9840.763383949123
3,LONG,1786995480000,1786995840000,0.015094,0.015014000000000001,0.015224,0.015034,13,6,6,0.4217,SL_HIT,-0.5300119252683084,-0.5300119252683084,-10.60023850536617,-104.31443894473497,9736.448945004387
