symbol,timeframe,fee_schedule,maker_fee_pct,taker_fee_pct,slippage_ticks,extra_ticks,total_trades,winning_trades,losing_trades,win_rate_pct,profit_factor,net_pnl_usdt,net_roi_pct,max_drawdown_pct,expectancy_usdt,total_fees_usdt,final_balance_usdt
XRP_USDT,5m,Maker 0.00% / Taker 0.05%,0.0,0.05,6,2,2573,1580,993,61.41,0.06,-114.93,-114.93,114.92,-0.0447,68.31,-14.93
XRP_USDT,5m,Maker 0.00% / Taker 0.05%,0.0,0.05,7,2,2565,1529,1036,59.61,0.05,-119.13,-119.13,119.13,-0.0464,66.23,-19.13
XRP_USDT,5m,Maker 0.10% / Taker 0.10%,0.1,0.1,1,2,2409,1428,981,59.28,0.04,-126.76,-126.76,126.75,-0.0526,114.14,-26.76
XRP_USDT,5m,Maker 0.10% / Taker 0.10%,0.1,0.1,2,2,2413,1394,1019,57.77,0.04,-130.71,-130.71,130.7,-0.0542,111.85,-30.71
XRP_USDT,5m,Maker 0.10% / Taker 0.10%,0.1,0.1,3,2,2413,1362,1051,56.44,0.04,-133.55,-133.55,133.54,-0.0553,109.97,-33.55
XRP_USDT,5m,Maker 0.10% / Taker 0.10%,0.1,0.1,4,2,2417,1333,1084,55.15,0.04,-137.43,-137.43,137.43,-0.0569,107.87,-37.43
XRP_USDT,5m,Maker 0.10% / Taker 0.10%,0.1,0.1,5,2,2416,1296,1120,53.64,0.03,-140.1,-140.1,140.1,-0.058,105.8,-40.1
XRP_USDT,5m,Maker 0.10% / Taker 0.10%,0.1,0.1,6,2,2413,1258,1155,52.13,0.03,-144.12,-144.12,144.11,-0.0597,103.7,-44.12
XRP_USDT,5m,Maker 0.10% / Taker 0.10%,0.1,0.1,7,2,2410,1225,1185,50.83,0.03,-147.54,-147.54,147.54,-0.0612,103.3,-47.54
XRP_USDT,15m,Maker 0.00% / Taker 0.01%,0.0,0.01,1,2,890,810,80,91.01,0.35,-23.75,-23.75,24.5,-0.0267,15.26,76.25
XRP_USDT,15m,Maker 0.00% / Taker 0.01%,0.0,0.01,2,2,890,802,88,90.11,0.3,-28.85,-28.85,29.05,-0.0324,15.08,71.15
XRP_USDT,15m,Maker 0.00% / Taker 0.01%,0.0,0.01,3,2,888,792,96,89.19,0.27,-33.12,-33.12,33.32,-0.0373,14.57,66.88
XRP_USDT,15m,Maker 0.00% / Taker 0.01%,0.0,0.01,4,2,889,787,102,88.53,0.24,-36.5,-36.5,36.69,-0.0411,14.2,63.5
XRP_USDT,15m,Maker 0.00% / Taker 0.01%,0.0,0.01,5,2,890,775,115,87.08,0.21,-42.38,-42.38,42.54,-0.0476,13.84,57.62
XRP_USDT,15m,Maker 0.00% / Taker 0.01%,0.0,0.01,6,2,890,760,130,85.39,0.17,-48.23,-48.23,48.38,-0.0542,13.12,51.77
