symbol,timeframe,fee_schedule,maker_fee_pct,taker_fee_pct,slippage_ticks,extra_ticks,total_trades,winning_trades,losing_trades,win_rate_pct,profit_factor,net_pnl_usdt,net_roi_pct,max_drawdown_pct,expectancy_usdt,total_fees_usdt,final_balance_usdt
CL_USDT,1h,Maker 0.00% / Taker 0.05%,0.0,0.05,5,2,130,108,22,83.08,0.12,-20.38,-20.38,20.42,-0.1568,11.73,79.62
CL_USDT,1h,Maker 0.00% / Taker 0.05%,0.0,0.05,6,2,130,108,22,83.08,0.12,-20.62,-20.62,20.65,-0.1586,11.73,79.38
CL_USDT,1h,Maker 0.00% / Taker 0.05%,0.0,0.05,7,2,130,108,22,83.08,0.12,-20.84,-20.84,20.87,-0.1603,11.71,79.16
CL_USDT,1h,Maker 0.10% / Taker 0.10%,0.1,0.1,1,2,128,107,21,83.59,0.11,-22.92,-22.92,22.95,-0.1791,22.98,77.08
CL_USDT,1h,Maker 0.10% / Taker 0.10%,0.1,0.1,2,2,128,105,23,82.03,0.1,-24.46,-24.46,24.48,-0.1911,22.79,75.54
CL_USDT,1h,Maker 0.10% / Taker 0.10%,0.1,0.1,3,2,128,104,24,81.25,0.09,-26.25,-26.25,26.28,-0.2051,22.67,73.75
CL_USDT,1h,Maker 0.10% / Taker 0.10%,0.1,0.1,4,2,129,104,25,80.62,0.09,-27.49,-27.49,27.51,-0.2131,22.78,72.51
CL_USDT,1h,Maker 0.10% / Taker 0.10%,0.1,0.1,5,2,130,104,26,80.0,0.08,-28.66,-28.66,28.69,-0.2205,22.81,71.34
CL_USDT,1h,Maker 0.10% / Taker 0.10%,0.1,0.1,6,2,130,103,27,79.23,0.08,-29.33,-29.33,29.35,-0.2256,22.77,70.67
CL_USDT,1h,Maker 0.10% / Taker 0.10%,0.1,0.1,7,2,130,103,27,79.23,0.08,-29.56,-29.56,29.58,-0.2274,22.74,70.44
CL_USDT,4h,Maker 0.00% / Taker 0.01%,0.0,0.01,1,2,31,29,2,93.55,0.13,-4.9,-4.9,5.35,-0.1581,0.6,95.1
CL_USDT,4h,Maker 0.00% / Taker 0.01%,0.0,0.01,2,2,31,29,2,93.55,0.13,-4.92,-4.92,5.37,-0.1588,0.6,95.08
CL_USDT,4h,Maker 0.00% / Taker 0.01%,0.0,0.01,3,2,31,28,3,90.32,0.1,-6.19,-6.19,6.63,-0.1997,0.6,93.81
CL_USDT,4h,Maker 0.00% / Taker 0.01%,0.0,0.01,4,2,31,28,3,90.32,0.1,-6.23,-6.23,6.67,-0.2008,0.6,93.77
CL_USDT,4h,Maker 0.00% / Taker 0.01%,0.0,0.01,5,2,31,28,3,90.32,0.1,-6.26,-6.26,6.7,-0.2019,0.6,93.74
